in s,C2 in V
-2.587016E-04,1.85059E+00
-2.586984E-04,1.80176E+00
-2.586952E-04,1.83105E+00
-2.586920E-04,1.83105E+00
-2.586888E-04,1.84082E+00
-2.586856E-04,1.83105E+00
-2.586824E-04,1.81152E+00
-2.586792E-04,1.79199E+00
-2.586760E-04,1.82129E+00
-2.586728E-04,1.82129E+00
-2.586696E-04,1.83105E+00
-2.586664E-04,1.81152E+00
-2.586632E-04,1.84082E+00
-2.586600E-04,1.86035E+00
-2.586568E-04,1.82129E+00
-2.586536E-04,1.81152E+00
-2.586504E-04,1.83105E+00
-2.586472E-04,1.79199E+00
-2.586440E-04,1.85059E+00
-2.586408E-04,1.80176E+00
-2.586376E-04,1.84082E+00
-2.586344E-04,1.81152E+00
-2.586312E-04,1.83105E+00
-2.586280E-04,1.79199E+00
-2.586248E-04,1.83105E+00
-2.586216E-04,1.83105E+00
-2.586184E-04,1.82129E+00
-2.586152E-04,1.85059E+00
-2.586120E-04,1.85059E+00
-2.586088E-04,1.82129E+00
-2.586056E-04,1.79199E+00
-2.586024E-04,1.84082E+00
-2.585992E-04,1.79199E+00
-2.585960E-04,1.83105E+00
-2.585928E-04,1.84082E+00
-2.585896E-04,1.81152E+00
-2.585864E-04,1.82129E+00
-2.585832E-04,1.83105E+00
-2.585800E-04,1.84082E+00
-2.585768E-04,1.82129E+00
-2.585736E-04,1.83105E+00
-2.585704E-04,1.83105E+00
-2.585672E-04,1.84082E+00
-2.585640E-04,1.80176E+00
-2.585608E-04,1.82129E+00
-2.585576E-04,1.82129E+00
-2.585544E-04,1.81152E+00
-2.585512E-04,1.80176E+00
-2.585480E-04,1.83105E+00
-2.585448E-04,1.83105E+00
-2.585416E-04,1.85059E+00
-2.585384E-04,1.81152E+00
-2.585352E-04,1.81152E+00
-2.585320E-04,1.82129E+00
-2.585288E-04,1.82129E+00
-2.585256E-04,1.80176E+00
-2.585224E-04,1.83105E+00
-2.585192E-04,1.80176E+00
